a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
Oui,0,0,1,000001,1,2,Infra & Cloud,Y,Occasionnel,0,5
Non,1,3,1,000002,8,1,Infra & Cloud,Y,Frequent,1,7
Oui,0,3,1,000004,2,2,Autre,Y,Occasionnel,0,0
Non,0,3,1,000005,3,4,Infra & Cloud,Y,Frequent,3,0
Non,1,3,1,000007,2,1,Transformation Digitale,Y,Occasionnel,2,2
Non,0,2,1,000008,2,2,Infra & Cloud,Y,Frequent,3,6
Non,3,3,1,0000010,3,3,Transformation Digitale,Y,Occasionnel,0,0
Non,1,2,1,0000011,24,1,Infra & Cloud,Y,Occasionnel,0,0
Non,0,2,1,0000012,23,3,Infra & Cloud,Y,Frequent,1,8
Non,2,3,1,0000013,27,3,Transformation Digitale,Y,Occasionnel,7,7
Non,1,5,1,0000014,16,3,Transformation Digitale,Y,Occasionnel,0,3
Non,0,3,1,0000015,15,2,Infra & Cloud,Y,Occasionnel,0,8
Non,1,1,1,0000016,26,1,Infra & Cloud,Y,Occasionnel,4,3
Non,1,2,1,0000018,19,2,Transformation Digitale,Y,Occasionnel,1,2
Oui,0,4,1,0000019,24,3,Infra & Cloud,Y,Occasionnel,0,3
Non,1,1,1,0000020,21,4,Infra & Cloud,Y,Occasionnel,8,8
Non,2,5,1,0000021,5,2,Infra & Cloud,Y,Occasionnel,0,5
Non,2,2,1,0000022,16,2,Transformation Digitale,Y,Aucun,0,0
Non,0,3,1,0000023,2,4,Infra & Cloud,Y,Occasionnel,3,7
Non,0,3,1,0000024,2,3,Infra & Cloud,Y,Occasionnel,1,2
Non,1,5,1,0000026,11,2,Autre,Y,Aucun,1,3
Oui,0,4,1,0000027,9,4,Infra & Cloud,Y,Occasionnel,0,3
Non,0,4,1,0000028,7,4,Infra & Cloud,Y,Occasionnel,2,11
Non,0,6,1,0000030,15,2,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,2,1,0000031,6,1,Transformation Digitale,Y,Occasionnel,1,3
Non,1,3,1,0000032,5,3,Autre,Y,Occasionnel,4,8
Oui,0,5,1,0000033,16,1,Infra & Cloud,Y,Frequent,6,7
Non,1,2,1,0000035,8,4,Marketing,Y,Occasionnel,4,2
Non,1,4,1,0000036,7,4,Transformation Digitale,Y,Occasionnel,5,17
Non,0,2,1,0000038,2,4,Marketing,Y,Occasionnel,2,1
Non,0,3,1,0000039,2,3,Transformation Digitale,Y,Occasionnel,0,0
Non,0,5,1,0000040,10,4,Autre,Y,Occasionnel,1,3
Non,0,5,1,0000041,9,2,Transformation Digitale,Y,Occasionnel,1,8
Oui,1,6,1,0000042,5,3,Entrepreunariat,Y,Occasionnel,0,0
Oui,1,2,1,0000045,1,3,Transformation Digitale,Y,Occasionnel,2,0
Non,2,3,1,0000046,2,2,Transformation Digitale,Y,Occasionnel,1,4
Oui,0,2,1,0000047,3,2,Marketing,Y,Occasionnel,0,2
Non,0,3,1,0000049,2,3,Marketing,Y,Occasionnel,2,2
Non,1,3,1,0000051,5,4,Infra & Cloud,Y,Occasionnel,0,0
Non,2,3,1,0000052,1,3,Infra & Cloud,Y,Frequent,1,3
Non,1,3,1,0000053,4,2,Autre,Y,Occasionnel,0,0
Non,1,6,1,0000054,2,4,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,2,1,0000055,25,3,Infra & Cloud,Y,Occasionnel,0,1
Non,0,0,1,0000056,8,3,Infra & Cloud,Y,Frequent,1,7
Non,0,2,1,0000057,1,2,Transformation Digitale,Y,Frequent,3,7
